Driver,Nationality,Team,Points,driverRef,Year
Max Chilton,GBR,MARUSSIA COSWORTH,0.0,chilton,2013
Sebastian Vettel,GER,RED BULL RACING RENAULT,53.0,vettel,2012
Lewis Hamilton,GBR,MCLAREN MERCEDES,49.0,hamilton,2012
Mark Webber,AUS,RED BULL RACING RENAULT,48.0,webber,2012
Jenson Button,GBR,MCLAREN MERCEDES,43.0,button,2012
Fernando Alonso,ESP,FERRARI,43.0,alonso,2012
Nico Rosberg,GER,MERCEDES,35.0,rosberg,2012
Kimi Räikkönen,FIN,LOTUS RENAULT,34.0,raikkonen,2012
Romain Grosjean,FRA,LOTUS RENAULT,23.0,grosjean,2012
Sergio Perez,MEX,SAUBER FERRARI,22.0,perez,2012
Paul di Resta,GBR,FORCE INDIA MERCEDES,15.0,resta,2012
Bruno Senna,BRA,WILLIAMS RENAULT,12.0,bruno_senna,2012
Kamui Kobayashi,JPN,SAUBER FERRARI,9.0,kobayashi,2012
Jean-Eric Vergne,FRA,STR FERRARI,4.0,vergne,2012
Pastor Maldonado,VEN,WILLIAMS RENAULT,4.0,maldonado,2012
Daniel Ricciardo,AUS,STR FERRARI,2.0,ricciardo,2012
Michael Schumacher,GER,MERCEDES,2.0,michael_schumacher,2012
Nico Hulkenberg,GER,FORCE INDIA MERCEDES,2.0,hulkenberg,2012
Felipe Massa,BRA,FERRARI,2.0,massa,2012
Vitaly Petrov,RUS,CATERHAM RENAULT,0.0,petrov,2012
Timo Glock,GER,MARUSSIA COSWORTH,0.0,glock,2012
Charles Pic,FRA,MARUSSIA COSWORTH,0.0,pic,2012
Heikki Kovalainen,FIN,CATERHAM RENAULT,0.0,kovalainen,2012
Jerome d'Ambrosio,BEL,LOTUS RENAULT,0.0,ambrosio,2012
Narain Karthikeyan,IND,HRT COSWORTH,0.0,karthikeyan,2012
Pedro de la Rosa,ESP,HRT COSWORTH,0.0,rosa,2012
Sebastian Vettel,GER,RED BULL RACING RENAULT,93.0,vettel,2011
Lewis Hamilton,GBR,MCLAREN MERCEDES,59.0,hamilton,2011
Mark Webber,AUS,RED BULL RACING RENAULT,55.0,webber,2011
Jenson Button,GBR,MCLAREN MERCEDES,46.0,button,2011
Fernando Alonso,ESP,FERRARI,41.0,alonso,2011
Felipe Massa,BRA,FERRARI,24.0,massa,2011
Nick Heidfeld,GER,RENAULT,21.0,heidfeld,2011
Vitaly Petrov,RUS,RENAULT,21.0,petrov,2011
Nico Rosberg,GER,MERCEDES,20.0,rosberg,2011
Kamui Kobayashi,JPN,SAUBER FERRARI,8.0,kobayashi,2011
Sebastien Buemi,SUI,STR FERRARI,6.0,buemi,2011
Michael Schumacher,GER,MERCEDES,6.0,michael_schumacher,2011
Adrian Sutil,GER,FORCE INDIA MERCEDES,2.0,sutil,2011
Paul di Resta,GBR,FORCE INDIA MERCEDES,2.0,resta,2011
Heikki Kovalainen,FIN,LOTUS RENAULT,0.0,kovalainen,2011
Daniel Ricciardo,AUS,HRT COSWORTH,0.0,ricciardo,2011
Narain Karthikeyan,IND,HRT COSWORTH,0.0,karthikeyan,2011
Timo Glock,GER,VIRGIN COSWORTH,0.0,glock,2011
Jerome d'Ambrosio,BEL,VIRGIN COSWORTH,0.0,ambrosio,2011
Vitantonio Liuzzi,ITA,HRT COSWORTH,0.0,liuzzi,2011
Pedro de la Rosa,ESP,SAUBER FERRARI,0.0,rosa,2011
Jarno Trulli,ITA,LOTUS RENAULT,0.0,trulli,2011
Pastor Maldonado,VEN,WILLIAMS COSWORTH,0.0,maldonado,2011
Bruno Senna,BRA,RENAULT,0.0,bruno_senna,2011
Rubens Barrichello,BRA,WILLIAMS COSWORTH,0.0,barrichello,2011
Sergio Perez,MEX,SAUBER FERRARI,0.0,perez,2011
Jaime Alguersuari,ESP,STR FERRARI,0.0,alguersuari,2011
Karun Chandhok,IND,LOTUS RENAULT,0.0,chandhok,2011
Jenson Button,GBR,MCLAREN MERCEDES,60.0,button,2010
Nico Rosberg,GER,MERCEDES,50.0,rosberg,2010
Fernando Alonso,ESP,FERRARI,49.0,alonso,2010
Lewis Hamilton,GBR,MCLAREN MERCEDES,49.0,hamilton,2010
Sebastian Vettel,GER,RBR RENAULT,45.0,vettel,2010
Felipe Massa,BRA,FERRARI,41.0,massa,2010
Robert Kubica,POL,RENAULT,40.0,kubica,2010
Mark Webber,AUS,RBR RENAULT,28.0,webber,2010
Michael Schumacher,GER,MERCEDES,10.0,michael_schumacher,2010
Adrian Sutil,GER,FORCE INDIA MERCEDES,10.0,sutil,2010
Vitantonio Liuzzi,ITA,FORCE INDIA MERCEDES,8.0,liuzzi,2010
Rubens Barrichello,BRA,WILLIAMS COSWORTH,5.0,barrichello,2010
Jaime Alguersuari,ESP,STR FERRARI,2.0,alguersuari,2010
Nico Hulkenberg,GER,WILLIAMS COSWORTH,1.0,hulkenberg,2010
Vitaly Petrov,RUS,RENAULT,0.0,petrov,2010
Sebastien Buemi,SUI,STR FERRARI,0.0,buemi,2010
Pedro de la Rosa,ESP,SAUBER FERRARI,0.0,rosa,2010
Nick Heidfeld,GER,SAUBER FERRARI,0.0,heidfeld,2010
Kamui Kobayashi,JPN,SAUBER FERRARI,0.0,kobayashi,2010
Heikki Kovalainen,FIN,LOTUS COSWORTH,0.0,kovalainen,2010
Jarno Trulli,ITA,LOTUS COSWORTH,0.0,trulli,2010
Karun Chandhok,IND,HRT COSWORTH,0.0,chandhok,2010
Bruno Senna,BRA,HRT COSWORTH,0.0,bruno_senna,2010
Lucas di Grassi,BRA,VIRGIN COSWORTH,0.0,grassi,2010
Timo Glock,GER,VIRGIN COSWORTH,0.0,glock,2010
Christian Klien,AUT,HRT COSWORTH,0.0,klien,2010
Jenson Button,GBR,BRAWN MERCEDES,31.0,button,2009
Rubens Barrichello,BRA,BRAWN MERCEDES,19.0,barrichello,2009
Sebastian Vettel,GER,RBR RENAULT,18.0,vettel,2009
Jarno Trulli,ITA,TOYOTA,14.5,trulli,2009
Timo Glock,GER,TOYOTA,12.0,glock,2009
Mark Webber,AUS,RBR RENAULT,9.5,webber,2009
Lewis Hamilton,GBR,MCLAREN MERCEDES,9.0,hamilton,2009
Fernando Alonso,ESP,RENAULT,5.0,alonso,2009
Heikki Kovalainen,FIN,MCLAREN MERCEDES,4.0,kovalainen,2009
Nick Heidfeld,GER,SAUBER BMW,4.0,heidfeld,2009
