Grand Prix,Cause,Deployed (lap),Called in (lap),Number of full laps,Year
Singapore Grand Prix,Accident,31,36,4,2010
Japanese Grand Prix,Accident,1,7,5,2010
Korean Grand Prix,Rain,1 (Race started behind SC),4 (After red flag),3,2010
Korean Grand Prix,Accident,19,24,4,2010
Korean Grand Prix,Accident,31,35,3,2010
Brazilian Grand Prix,Accident,51,56,4,2010
Abu Dhabi Grand Prix,Accident,1,6,4,2010
Spanish Grand Prix,Accident,1,5,3,2009
Australian Grand Prix,Accident,19,24,4,2009
Australian Grand Prix,Accident,55,NA (Race finished behind SC),3,2009
Malaysian Grand Prix,Rain,31,NA (Red flag),1,2009
Chinese Grand Prix,Rain,1 (Race started behind SC),8,7,2009
Chinese Grand Prix,Debris from accident,18,22,3,2009
Brazilian Grand Prix,Accident,1,6,5,2009
Belgian Grand Prix,Accident,1,5,3,2009
Singapore Grand Prix,Accident,21,27,5,2009
Japanese Grand Prix,Accident,1,7,5,2009
Italian Grand Prix,Accident,53,NA (Race finished behind SC),1,2009
Monaco Grand Prix,Accident,62,67,4,2008
Australian Grand Prix,Accident,1,3,1,2008
Australian Grand Prix,Accident,26,30,3,2008
Australian Grand Prix,Accident,44,47,2,2008
Spanish Grand Prix,Accident,1,4,2,2008
Turkish Grand Prix,Accident,1,3,1,2008
Monaco Grand Prix,Accident,8,11,2,2008
Spanish Grand Prix,Accident,22,29,6,2008
Canadian Grand Prix,Stranded car,16,22,5,2008
Italian Grand Prix,Rain,1 (Race started behind SC),3,2,2008
Singapore Grand Prix,Accident,14,20,5,2008
Singapore Grand Prix,Accident,46,53,6,2008
Brazilian Grand Prix,Accident,1,4,2,2008
German Grand Prix,Accident,36,42,5,2008
Canadian Grand Prix,Accident,55,60,4,2007
Bahrain Grand Prix,Accident,1,4,2,2007
Canadian Grand Prix,Accident,22,26,3,2007
Canadian Grand Prix,Accident,26,34,7,2007
Canadian Grand Prix,Debris from accident,50,54,3,2007
Japanese Grand Prix,Rain,1 (Race started behind SC),20,19,2007
European Grand Prix,Accidents,3,7 (After red flag),3,2007
Italian Grand Prix,Accident,1,7,5,2007
Japanese Grand Prix,Accident,41,48,6,2007
Australian Grand Prix,Accident,36,40,3,2006
Australian Grand Prix,Accident,32,35,2,2006
Hungarian Grand Prix,Accident,26,31,4,2006
Australian Grand Prix,Accident,8,10,1,2006
Australian Grand Prix,Accident,1,3,1,2006
Monaco Grand Prix,Stranded car,47,49,1,2006
San Marino Grand Prix,Accident,1,3,1,2006
Turkish Grand Prix,Stranded car,13,16,2,2006
British Grand Prix,Accident,2,4,1,2006
Canadian Grand Prix,Accident,61,64,2,2006
United States Grand Prix,Two accidents,1,7,5,2006
