,year,round,race,date,circuit,location
231,1996,9,French Grand Prix,1996-06-30,Circuit de Nevers Magny-Cours,"Magny Cours, France"
232,1996,10,British Grand Prix,1996-07-14,Silverstone Circuit,"Silverstone, UK"
233,1996,11,German Grand Prix,1996-07-28,Hockenheimring,"Hockenheim, Germany"
234,1996,12,Hungarian Grand Prix,1996-08-11,Hungaroring,"Budapest, Hungary"
235,1996,13,Belgian Grand Prix,1996-08-25,Circuit de Spa-Francorchamps,"Spa, Belgium"
236,1996,14,Italian Grand Prix,1996-09-08,Autodromo Nazionale di Monza,"Monza, Italy"
237,1996,15,Portuguese Grand Prix,1996-09-22,Autódromo do Estoril,"Estoril, Portugal"
238,1996,16,Japanese Grand Prix,1996-10-13,Suzuka Circuit,"Suzuka, Japan"
239,1995,1,Brazilian Grand Prix,1995-03-26,Autódromo José Carlos Pace,"São Paulo, Brazil"
240,1995,2,Argentine Grand Prix,1995-04-09,Autódromo Juan y Oscar Gálvez,"Buenos Aires, Argentina"
241,1995,3,San Marino Grand Prix,1995-04-30,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
242,1995,4,Spanish Grand Prix,1995-05-14,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
243,1995,5,Monaco Grand Prix,1995-05-28,Circuit de Monaco,"Monte-Carlo, Monaco"
244,1995,6,Canadian Grand Prix,1995-06-11,Circuit Gilles Villeneuve,"Montreal, Canada"
245,1995,7,French Grand Prix,1995-07-02,Circuit de Nevers Magny-Cours,"Magny Cours, France"
246,1995,8,British Grand Prix,1995-07-16,Silverstone Circuit,"Silverstone, UK"
247,1995,9,German Grand Prix,1995-07-30,Hockenheimring,"Hockenheim, Germany"
248,1995,10,Hungarian Grand Prix,1995-08-13,Hungaroring,"Budapest, Hungary"
249,1995,11,Belgian Grand Prix,1995-08-27,Circuit de Spa-Francorchamps,"Spa, Belgium"
250,1995,12,Italian Grand Prix,1995-09-10,Autodromo Nazionale di Monza,"Monza, Italy"
251,1995,13,Portuguese Grand Prix,1995-09-24,Autódromo do Estoril,"Estoril, Portugal"
252,1995,14,European Grand Prix,1995-10-01,Nürburgring,"Nürburg, Germany"
253,1995,15,Pacific Grand Prix,1995-10-22,Okayama International Circuit,"Okayama, Japan"
254,1995,16,Japanese Grand Prix,1995-10-29,Suzuka Circuit,"Suzuka, Japan"
255,1995,17,Australian Grand Prix,1995-11-12,Adelaide Street Circuit,"Adelaide, Australia"
256,1994,1,Brazilian Grand Prix,1994-03-27,Autódromo José Carlos Pace,"São Paulo, Brazil"
257,1994,2,Pacific Grand Prix,1994-04-17,Okayama International Circuit,"Okayama, Japan"
258,1994,3,San Marino Grand Prix,1994-05-01,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
259,1994,4,Monaco Grand Prix,1994-05-15,Circuit de Monaco,"Monte-Carlo, Monaco"
260,1994,5,Spanish Grand Prix,1994-05-29,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
261,1994,6,Canadian Grand Prix,1994-06-12,Circuit Gilles Villeneuve,"Montreal, Canada"
262,1994,7,French Grand Prix,1994-07-03,Circuit de Nevers Magny-Cours,"Magny Cours, France"
263,1994,8,British Grand Prix,1994-07-10,Silverstone Circuit,"Silverstone, UK"
264,1994,9,German Grand Prix,1994-07-31,Hockenheimring,"Hockenheim, Germany"
265,1994,10,Hungarian Grand Prix,1994-08-14,Hungaroring,"Budapest, Hungary"
266,1994,11,Belgian Grand Prix,1994-08-28,Circuit de Spa-Francorchamps,"Spa, Belgium"
267,1994,12,Italian Grand Prix,1994-09-11,Autodromo Nazionale di Monza,"Monza, Italy"
268,1994,13,Portuguese Grand Prix,1994-09-25,Autódromo do Estoril,"Estoril, Portugal"
269,1994,14,European Grand Prix,1994-10-16,Circuito de Jerez,"Jerez de la Frontera, Spain"
270,1994,15,Japanese Grand Prix,1994-11-06,Suzuka Circuit,"Suzuka, Japan"
271,1994,16,Australian Grand Prix,1994-11-13,Adelaide Street Circuit,"Adelaide, Australia"
272,1993,1,South African Grand Prix,1993-03-14,Kyalami,"Midrand, South Africa"
273,1993,2,Brazilian Grand Prix,1993-03-28,Autódromo José Carlos Pace,"São Paulo, Brazil"
274,1993,3,European Grand Prix,1993-04-11,Donington Park,"Castle Donington, UK"
275,1993,4,San Marino Grand Prix,1993-04-25,Autodromo Enzo e Dino Ferrari,"Imola, Italy"
276,1993,5,Spanish Grand Prix,1993-05-09,Circuit de Barcelona-Catalunya,"Montmeló, Spain"
277,1993,6,Monaco Grand Prix,1993-05-23,Circuit de Monaco,"Monte-Carlo, Monaco"
278,1993,7,Canadian Grand Prix,1993-06-13,Circuit Gilles Villeneuve,"Montreal, Canada"
279,1993,8,French Grand Prix,1993-07-04,Circuit de Nevers Magny-Cours,"Magny Cours, France"
280,1993,9,British Grand Prix,1993-07-11,Silverstone Circuit,"Silverstone, UK"
